ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
675,motivation,Oliwia,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,7,2,.02,-2.05374891063182,69.1937663405227,1,10,85,-5.73327263074862,5.73327263074862,4787.77730038685,15.8062336594773,5,2,4
190,couples,couples_men,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,24,13,12,.12,-1.17498679206609,82.3751981190086,1,10,85,-6.52197188486265,6.52197188486265,6785.67326514593,2.62480188099136,7,6,36
1021,data4, ,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,3,.03,-1.88079360815125,71.7880958777312,1,10,85,-5.73327263074862,5.73327263074862,5153.53070975033,13.2119041222688,2,5,25
306,couples,couples_men,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,7,3,.03,-1.88079360815125,71.7880958777312,1,10,85,-5.73327263074862,5.73327263074862,5153.53070975033,13.2119041222688,2,5,25
897,data4, ,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,1,.01,-2.32634787404084,65.1047818893874,1,12,95,-3.20747312800594,3.20747312800594,4238.63262486471,29.8952181106126,1,2,4
42,couples,couples_women,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,.01,-2.32634787404084,65.1047818893874,1,12,95,-3.20747312800594,3.20747312800594,4238.63262486471,29.8952181106126,1,2,4
679,motivation,JuliaWoj,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,8,.08,-1.40507156030963,78.9239265953555,1,12,95,-4.25907213349131,4.25907213349131,6228.98618922906,16.0760734046445,7,4,16
819,motivation,Oliwia,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,29,.29,-.553384719555673,91.6992292066649,1,12,95,-5.17922126329101,5.17922126329101,8408.74863709647,3.30077079333509,10,8,64
1000,data4, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,3,1,.01,-2.32634787404084,65.1047818893874,1,12,95,-3.20747312800594,3.20747312800594,4238.63262486471,29.8952181106126,1,2,4
392,couples,couples_men,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,45,3,1,.01,-2.32634787404084,65.1047818893874,1,12,95,-3.20747312800594,3.20747312800594,4238.63262486471,29.8952181106126,1,2,4
474,motivation,AZochows,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,19,34,.34,-.412463129441405,93.8130530583789,1,13,100,-4.31067113897668,4.31067113897668,8800.88892413422,6.18694694162107,9,10,100
932,data4, ,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,5,1,.01,-2.32634787404084,65.1047818893874,1,13,100,-2.47037287937728,2.47037287937728,4238.63262486471,34.8952181106126,4,1,1
79,couples,couples_women,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,1,.01,-2.32634787404084,65.1047818893874,1,13,100,-2.47037287937728,2.47037287937728,4238.63262486471,34.8952181106126,4,1,1
593,motivation,Oliwia,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,17,25,.25,-.674489750196082,89.8826537470588,1,13,100,-4.04777138760534,4.04777138760534,8078.89144461366,10.1173462529412,8,9,81
674,motivation,Oliwia,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,7,2,.02,-2.05374891063182,69.1937663405227,1,13,100,-2.73327263074862,2.73327263074862,4787.77730038685,30.8062336594773,4,3,9
684,motivation,LukWiecz,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,18,29,.29,-.553384719555673,91.6992292066649,1,13,100,-4.17922126329101,4.17922126329101,8408.74863709647,8.30077079333509,10,8,64
150,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,29,.29,-.553384719555673,91.6992292066649,1,13,100,-4.17922126329101,4.17922126329101,8408.74863709647,8.30077079333509,10,8,64
739,motivation,LukWiecz,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,8,4,.04,-1.75068607125217,73.7397089312175,1,13,100,-2.86472250643429,2.86472250643429,5437.54467326067,26.2602910687826,5,3,9
785,motivation,NatGors,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,21,.21,-.80642124701824,87.9036812947264,1,13,100,-3.91632151191966,3.91632151191966,7727.05718516483,12.0963187052736,8,8,64
347,couples,couples_women,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,17,25,.25,-.674489750196082,89.8826537470588,1,13,100,-4.04777138760534,4.04777138760534,8078.89144461366,10.1173462529412,9,8,64
908,data4, ,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,9,9,.09,-1.34075503369022,79.8886744946468,1,13,100,-2.99617238211996,2.99617238211996,6382.20031251162,20.1113255053533,6,3,9
388,couples,couples_women,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,9,.09,-1.34075503369022,79.8886744946468,1,13,100,-2.99617238211996,2.99617238211996,6382.20031251162,20.1113255053533,6,3,9
1046,data4, ,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,44,13,17,.17,-.954165253146194,85.6875212028071,1,13,100,-3.52197188486265,3.52197188486265,7342.35128988151,14.3124787971929,9,4,16
391,couples,couples_men,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,44,13,17,.17,-.954165253146194,85.6875212028071,1,13,100,-3.52197188486265,3.52197188486265,7342.35128988151,14.3124787971929,9,4,16
916,data4, ,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,14,25,.25,-.674489750196082,89.8826537470588,1,13,100,-3.65342176054832,3.65342176054832,8078.89144461366,10.1173462529412,7,7,49
393,couples,couples_women,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,14,25,.25,-.674489750196082,89.8826537470588,1,13,100,-3.65342176054832,3.65342176054832,8078.89144461366,10.1173462529412,7,7,49
1016,data4, ,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,12,.12,-1.17498679206609,82.3751981190086,1,13,100,-3.25907213349131,3.25907213349131,6785.67326514593,17.6248018809914,5,6,36
401,couples,couples_men,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,11,12,.12,-1.17498679206609,82.3751981190086,1,13,100,-3.25907213349131,3.25907213349131,6785.67326514593,17.6248018809914,5,6,36
870,data4, ,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,8,9,.09,-1.34075503369022,79.8886744946468,1,13,100,-2.86472250643429,2.86472250643429,6382.20031251162,20.1113255053533,4,4,16
413,couples,couples_women,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,9,.09,-1.34075503369022,79.8886744946468,1,13,100,-2.86472250643429,2.86472250643429,6382.20031251162,20.1113255053533,4,4,16
909,data4, ,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,51,11,12,.12,-1.17498679206609,82.3751981190086,1,13,100,-3.25907213349131,3.25907213349131,6785.67326514593,17.6248018809914,7,4,16
418,couples,couples_women,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,11,12,.12,-1.17498679206609,82.3751981190086,1,13,100,-3.25907213349131,3.25907213349131,6785.67326514593,17.6248018809914,7,4,16
1039,data4, ,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,42,.42,-.201893479141851,96.9715978128722,1,13,100,-3.91632151191966,3.91632151191966,9403.49078238145,3.02840218712777,9,7,49
421,couples,couples_men,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,16,42,.42,-.201893479141851,96.9715978128722,1,13,100,-3.91632151191966,3.91632151191966,9403.49078238145,3.02840218712777,9,7,49
431,couples,couples_women,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,8,12,.12,-1.17498679206609,82.3751981190086,1,13,100,-2.86472250643429,2.86472250643429,6785.67326514593,17.6248018809914,5,3,9
954,data4, ,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,7,25,.25,-.674489750196082,89.8826537470588,1,13,100,-2.73327263074862,2.73327263074862,8078.89144461366,10.1173462529412,4,3,9
1,couples,couples_women,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,4,.04,-1.75068607125217,73.7397089312175,1,14,105,-1.86472250643429,1.86472250643429,5437.54467326067,31.2602910687826,5,3,9
960,data4, ,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,8,4,.04,-1.75068607125217,73.7397089312175,1,14,105,-1.86472250643429,1.86472250643429,5437.54467326067,31.2602910687826,5,3,9
592,motivation,LukWiecz,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,22,17,25,.25,-.674489750196082,89.8826537470588,1,14,105,-3.04777138760534,3.04777138760534,8078.89144461366,15.1173462529412,9,8,64
681,motivation,LukWiecz,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,16,21,.21,-.80642124701824,87.9036812947264,1,14,105,-2.91632151191966,2.91632151191966,7727.05718516483,17.0963187052736,8,8,64
683,motivation,LukWiecz,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,18,29,.29,-.553384719555673,91.6992292066649,1,14,105,-3.17922126329101,3.17922126329101,8408.74863709647,13.3007707933351,11,7,49
1002,data4, ,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,17,25,.25,-.674489750196082,89.8826537470588,1,15,110,-2.04777138760534,2.04777138760534,8078.89144461366,20.1173462529412,10,7,49
45,couples,couples_men,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,17,25,.25,-.674489750196082,89.8826537470588,1,15,110,-2.04777138760534,2.04777138760534,8078.89144461366,20.1173462529412,10,7,49
516,motivation,Oliwia,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,21,19,34,.34,-.412463129441405,93.8130530583789,1,15,110,-2.31067113897668,2.31067113897668,8800.88892413422,16.1869469416211,9,10,100
1062,data4, ,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,17,25,.25,-.674489750196082,89.8826537470588,1,15,110,-2.04777138760534,2.04777138760534,8078.89144461366,20.1173462529412,10,7,49
594,motivation,Oliwia,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,22,17,25,.25,-.674489750196082,89.8826537470588,1,15,110,-2.04777138760534,2.04777138760534,8078.89144461366,20.1173462529412,9,8,64
87,couples,couples_men,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,22,17,25,.25,-.674489750196082,89.8826537470588,1,15,110,-2.04777138760534,2.04777138760534,8078.89144461366,20.1173462529412,10,7,49
143,couples,couples_women,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,2,.02,-2.05374891063182,69.1937663405227,1,15,110,-.733272630748621,.733272630748621,4787.77730038685,40.8062336594773,3,4,16
146,couples,couples_women,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,15,.15,-1.03643338949379,84.4534991575932,1,15,110,-1.65342176054832,1.65342176054832,7132.39351996159,25.5465008424068,5,9,81
189,couples,couples_men,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,10,6,.06,-1.55477359459685,76.6783960810472,1,15,110,-1.12762225780563,1.12762225780563,5879.57642556195,33.3216039189528,5,5,25
740,motivation,Oliwia,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,24,12,10,.1,-1.2815515655446,80.776726516831,1,15,110,-1.39052200917698,1.39052200917698,6524.87954677491,29.223273483169,4,8,64
742,motivation,Oliwia,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,24,15,15,.15,-1.03643338949379,84.4534991575932,1,15,110,-1.78487163623399,1.78487163623399,7132.39351996159,25.5465008424068,10,5,25
743,motivation,JanAntcz,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,29,.29,-.553384719555673,91.6992292066649,1,15,110,-2.17922126329101,2.17922126329101,8408.74863709647,18.3007707933351,9,9,81
924,data4, ,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,15,18,.18,-.915365087842814,86.2695236823578,1,15,110,-1.78487163623399,1.78487163623399,7442.43071638089,23.7304763176422,8,7,49
233,couples,couples_women,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,15,18,.18,-.915365087842814,86.2695236823578,1,15,110,-1.78487163623399,1.78487163623399,7442.43071638089,23.7304763176422,8,7,49
234,couples,couples_women,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,17,25,.25,-.674489750196082,89.8826537470588,1,15,110,-2.04777138760534,2.04777138760534,8078.89144461366,20.1173462529412,8,9,81
901,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,18,29,.29,-.553384719555673,91.6992292066649,1,15,110,-2.17922126329101,2.17922126329101,8408.74863709647,18.3007707933351,10,8,64
235,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,29,.29,-.553384719555673,91.6992292066649,1,15,110,-2.17922126329101,2.17922126329101,8408.74863709647,18.3007707933351,10,8,64
1011,data4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,26,5,1,.01,-2.32634787404084,65.1047818893874,1,15,110,-.470372879377278,.470372879377278,4238.63262486471,44.8952181106126,2,3,9
261,couples,couples_men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,26,5,1,.01,-2.32634787404084,65.1047818893874,1,15,110,-.470372879377278,.470372879377278,4238.63262486471,44.8952181106126,2,3,9
803,motivation,NatGors,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,18,29,.29,-.553384719555673,91.6992292066649,1,15,110,-2.17922126329101,2.17922126329101,8408.74863709647,18.3007707933351,10,8,64
290,couples,couples_women,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,15,.15,-1.03643338949379,84.4534991575932,1,15,110,-1.65342176054832,1.65342176054832,7132.39351996159,25.5465008424068,6,8,64
843,motivation,Oliwia,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,16,25,.25,-.674489750196082,89.8826537470588,1,15,110,-1.91632151191966,1.91632151191966,8078.89144461366,20.1173462529412,9,7,49
915,data4, ,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36,15,21,.21,-.80642124701824,87.9036812947264,1,15,110,-1.78487163623399,1.78487163623399,7727.05718516483,22.0963187052736,7,8,64
369,couples,couples_women,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,15,21,.21,-.80642124701824,87.9036812947264,1,15,110,-1.78487163623399,1.78487163623399,7727.05718516483,22.0963187052736,7,8,64
1006,data4, ,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,10,10,.1,-1.2815515655446,80.776726516831,1,15,110,-1.12762225780563,1.12762225780563,6524.87954677491,29.223273483169,4,6,36
390,couples,couples_men,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44,10,10,.1,-1.2815515655446,80.776726516831,1,15,110,-1.12762225780563,1.12762225780563,6524.87954677491,29.223273483169,4,6,36
1038,data4, ,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,12,.12,-1.17498679206609,82.3751981190086,1,15,110,-1.25907213349131,1.25907213349131,6785.67326514593,27.6248018809914,6,5,25
402,couples,couples_men,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,11,12,.12,-1.17498679206609,82.3751981190086,1,15,110,-1.25907213349131,1.25907213349131,6785.67326514593,27.6248018809914,5,6,36
400,couples,couples_men,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,11,12,.12,-1.17498679206609,82.3751981190086,1,15,110,-1.25907213349131,1.25907213349131,6785.67326514593,27.6248018809914,6,5,25
409,couples,couples_women,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,32,.32,-.467698799114508,92.9845180132824,1,15,110,-1.65342176054832,1.65342176054832,8646.12059016244,17.0154819867176,5,9,81
1017,data4, ,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,50,11,14,.14,-1.08031934081496,83.7952098877757,1,15,110,-1.25907213349131,1.25907213349131,7021.63720013638,26.2047901122243,5,6,36
414,couples,couples_men,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,50,11,14,.14,-1.08031934081496,83.7952098877757,1,15,110,-1.25907213349131,1.25907213349131,7021.63720013638,26.2047901122243,5,6,36
863,data4, ,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,14,38,.38,-.305480788099397,95.417788178509,1,15,110,-1.65342176054832,1.65342176054832,9104.55430087882,14.582211821491,7,7,49
429,couples,couples_women,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,38,.38,-.305480788099397,95.417788178509,1,15,110,-1.65342176054832,1.65342176054832,9104.55430087882,14.582211821491,7,7,49
993,data4, ,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,7,.07,-1.47579102817917,77.8631345773125,1,15,110,-.470372879377278,.470372879377278,6062.66772620467,32.1368654226875,2,3,9
